model,family,tier_1,tier_1_n,tier_2,tier_2_n,gap_t1_minus_t2
flan-t5-large,invariance,0.8718,2169,0.9003,391,-0.0285
flan-t5-large,directional,0.9222,360,0.8571,14,0.0651
flan-t5-large,shortcut,0.8127,1714,0.838,321,-0.0253
flan-t5-xl,invariance,0.8916,2168,0.9335,391,-0.0419
flan-t5-xl,directional,0.9111,360,0.8571,14,0.054
flan-t5-xl,shortcut,0.7077,1714,0.7913,321,-0.0836
gemma-3-27b,invariance,0.6849,457,0.8406,69,-0.1557
gemma-3-27b,directional,0.7694,360,0.8571,14,-0.0877
gemma-3-27b,shortcut,0.042,1714,0.0623,321,-0.0203
gpt-4.1,invariance,0.8708,1440,0.9469,245,-0.0761
gpt-4.1,directional,0.7417,360,0.7143,14,0.0274
gpt-4.1,shortcut,0.2322,1714,0.3146,321,-0.0824
llama-3.1-70b,invariance,0.8793,2154,0.9189,407,-0.0396
llama-3.1-70b,directional,0.7944,360,0.8571,14,-0.0627
llama-3.1-70b,shortcut,0.0315,1714,0.0374,321,-0.0059
llama-3.1-8b,invariance,0.7569,2147,0.814,414,-0.0571
llama-3.1-8b,directional,0.8194,360,0.8571,14,-0.0377
llama-3.1-8b,shortcut,0.0548,1714,0.0717,321,-0.0169
qwen2.5-32b,invariance,0.8466,1160,0.9082,207,-0.0616
qwen2.5-32b,directional,0.8972,360,0.9286,14,-0.0314
qwen2.5-32b,shortcut,0.1599,1714,0.2087,321,-0.0488
