model,dataset,family,reliability,valid_n,total_n
flan-t5-large,ASSET,invariance,0.9717,494,2489
flan-t5-large,ASSET,shortcut,0.8185,1995,1995
flan-t5-large,OneStopEnglish,directional,0.9198,374,374
flan-t5-large,TSAR2025,invariance,1.0,32,72
flan-t5-large,TSAR2025,shortcut,0.725,40,40
flan-t5-xl,ASSET,invariance,0.9737,494,2488
flan-t5-xl,ASSET,shortcut,0.7223,1995,1995
flan-t5-xl,OneStopEnglish,directional,0.9091,374,374
flan-t5-xl,TSAR2025,invariance,1.0,32,72
flan-t5-xl,TSAR2025,shortcut,0.65,40,40
gemma-3-27b,ASSET,invariance,0.6397,494,494
gemma-3-27b,ASSET,shortcut,0.0451,1995,1995
gemma-3-27b,OneStopEnglish,directional,0.7727,374,374
gemma-3-27b,TSAR2025,invariance,0.9062,32,32
gemma-3-27b,TSAR2025,shortcut,0.05,40,40
gpt-4.1,ASSET,invariance,0.8219,494,1653
gpt-4.1,ASSET,shortcut,0.2486,1995,1995
gpt-4.1,OneStopEnglish,directional,0.7406,374,374
gpt-4.1,TSAR2025,invariance,1.0,32,32
gpt-4.1,TSAR2025,shortcut,0.075,40,40
llama-3.1-70b,ASSET,invariance,0.6073,494,2489
llama-3.1-70b,ASSET,shortcut,0.0301,1995,1995
llama-3.1-70b,OneStopEnglish,directional,0.7968,374,374
llama-3.1-70b,TSAR2025,invariance,0.9375,32,72
llama-3.1-70b,TSAR2025,shortcut,0.15,40,40
llama-3.1-8b,ASSET,invariance,0.1579,494,2489
llama-3.1-8b,ASSET,shortcut,0.0556,1995,1995
llama-3.1-8b,OneStopEnglish,directional,0.8209,374,374
llama-3.1-8b,TSAR2025,invariance,0.0625,32,72
llama-3.1-8b,TSAR2025,shortcut,0.15,40,40
qwen2.5-32b,ASSET,invariance,0.7814,494,1335
qwen2.5-32b,ASSET,shortcut,0.1694,1995,1995
qwen2.5-32b,OneStopEnglish,directional,0.8984,374,374
qwen2.5-32b,TSAR2025,invariance,0.3438,32,32
qwen2.5-32b,TSAR2025,shortcut,0.075,40,40
