Model,Family,Tier_1,N_T1,Tier_2,N_T2,Gap
flan-t5-large,invariance,0.974,457,0.971,69,+0.003
flan-t5-large,directional,0.922,360,0.857,14,+0.065
flan-t5-large,shortcut,0.813,1714,0.838,321,-0.025
flan-t5-xl,invariance,0.976,457,0.971,69,+0.005
flan-t5-xl,directional,0.911,360,0.857,14,+0.054
flan-t5-xl,shortcut,0.708,1714,0.791,321,-0.084
gemma-3-27b,invariance,0.654,457,0.667,69,-0.012
gemma-3-27b,directional,0.769,360,0.857,14,-0.088
gemma-3-27b,shortcut,0.042,1714,0.062,321,-0.020
gpt-4.1,invariance,0.827,457,0.870,69,-0.043
gpt-4.1,directional,0.742,360,0.714,14,+0.027
gpt-4.1,shortcut,0.232,1714,0.315,321,-0.082
llama-3.1-70b,invariance,0.637,457,0.565,69,+0.072
llama-3.1-70b,directional,0.794,360,0.857,14,-0.063
llama-3.1-70b,shortcut,0.032,1714,0.037,321,-0.006
llama-3.1-8b,invariance,0.144,457,0.203,69,-0.059
llama-3.1-8b,directional,0.819,360,0.857,14,-0.038
llama-3.1-8b,shortcut,0.055,1714,0.072,321,-0.017
qwen2.5-32b,invariance,0.744,457,0.826,69,-0.082
qwen2.5-32b,directional,0.897,360,0.929,14,-0.031
qwen2.5-32b,shortcut,0.160,1714,0.209,321,-0.049
